Store Name,Address,City,Format,Comment
Магнит 947387,"Московская обл, Балашиха г, Фадеева ул, 19А",,Undefined,No match; needs manual map lookup
Магнит 852965,"Саратовская обл, Энгельс г, Трудовая ул, 8А",,Undefined,No match; needs manual map lookup
Магнит 777934,"Московская обл, Одинцово г, Звенигород г, Поречье мкр, 7",,Undefined,No match; needs manual map lookup
Магнит 878817,"Свердловская обл, Екатеринбург г, 22 Партсъезда ул, 10",,Undefined,No match; needs manual map lookup
Магнит 747401,"Воронежская обл, Воронеж г, Калининец тер ДНТ, 1 линия, 52",,Undefined,No match; needs manual map lookup
Магнит 680933,"Московская обл, Домодедово г",,Undefined,No match; needs manual map lookup
Магнит 702718,"Воронежская обл, Семилукский р-н, Семилуки г, Транспортная ул, 14/5",,Undefined,No match; needs manual map lookup
Магнит 671345,"Курская обл, Железногорский р-н, Тепличный п, Лесная ул, 16",,Undefined,No match; needs manual map lookup
Магнит 618660,"Волгоградская обл, Волгоград г, Качинцев ул, 97",,Undefined,No match; needs manual map lookup
Магнит 667537,"Санкт-Петербург г, Дыбенко ул, 2, к 1",,Undefined,No match; needs manual map lookup
Магнит 581769,"Москва г, Коммунарка р-н, Коммунарка п, Лазурная ул, 7",,Undefined,No match; needs manual map lookup
Магнит 579267,"Московская обл, Подольск г, Железнодорожная ул, 2",,Undefined,No match; needs manual map lookup
Магнит 572012,"Воронежская обл, Нововоронеж г, Космонавтов ул, 24",,Undefined,No match; needs manual map lookup
Магнит 479669,"Москва г, Внуково р-н, Аэростатная ул, 15, к 9",,Undefined,No match; needs manual map lookup
Магнит 478990,"Удмуртия, Игринский р-н, Чутырь с, Советская ул, 53Б",,Undefined,No match; needs manual map lookup
Магнит 418699,"Москва г, Шереметьевская ул, 13, к 1",,Undefined,No match; needs manual map lookup
Магнит 330694,"Новосибирская обл, Новосибирск г, Золотая Горка тер. СНТ, 63/2",,Undefined,No match; needs manual map lookup
Магнит 158802,"Московская обл, Видное г, Развилка п, Римский пр-д, 15",,Undefined,No match; needs manual map lookup
Магнит 143721,"Нижегородская обл, Семенов г, Беласовка д, Школьная ул, 2А",,Undefined,No match; needs manual map lookup
Магнит 889374,"Московская обл, Можайск г, Ватутина ул, 8А",,Undefined,No match; needs manual map lookup
Магнит 820014,"Краснодарский край, Мостовский р-н, Переправная ст-ца, Кузнецова ул, 45А",,Undefined,No match; needs manual map lookup
Магнит 851701,"Ростовская обл, Ростов-на-Дону г, 10-й Лазоревый пер, 27",,Undefined,No match; needs manual map lookup
Магнит 792639,"Калмыкия, Элиста г, Ю.Клыкова ул, 126",,Undefined,No match; needs manual map lookup
Магнит 780383,"Московская обл, Ногинск г, Рыбхоз п, Бисерово-парк мкр, 1А",,Undefined,No match; needs manual map lookup
Магнит 784117,"Ханты-Мансийский АО, Югорск г, Железнодорожная ул, 35А",,Undefined,No match; needs manual map lookup
Магнит 837991,"Московская обл, Подольск г, Профсоюзная ул, 1В",,Undefined,No match; needs manual map lookup
Магнит 787564,"Нижегородская обл, Нижний Новгород г, Сазанова ул, 17",,Undefined,No match; needs manual map lookup
Магнит 713938,"Ивановская обл, Вичуга г, Богдана Хмельницкого ул, 9А",,Undefined,No match; needs manual map lookup
Магнит 754482,"Алтайский край, Чарышский р-н, Чарышское с, Театральный пер, 1",,Undefined,No match; needs manual map lookup
Магнит 649549,"Вологодская обл, Вологда г, Гагарина ул, 72",,Undefined,No match; needs manual map lookup
Магнит 603728,"Москва г, 2-й Нагатинский проезд, 2/3",,Undefined,No match; needs manual map lookup
Магнит 588015,"Воронежская обл, Воронеж г, Острогожская ул, 168/2",,Undefined,No match; needs manual map lookup
Магнит 569266,"Мурманская обл, Ловозерский р-н, Ревда пгт, Металлургов ул, 3",,Undefined,No match; needs manual map lookup
Магнит 453466,"Коми, Сыктывкар г, Мира ул, 15",,Undefined,No match; needs manual map lookup
Магнит 302470,"Удмуртия, Ижевск г, им Татьяны Барамзиной ул, 74А",,Undefined,No match; needs manual map lookup
Магнит 357726,"Москва г, Филимонковский р-н, Московский г, Лаптева ул, 9",,Undefined,No match; needs manual map lookup
Магнит 290604,"Москва г, Новокосинская ул, 32",,Undefined,No match; needs manual map lookup
Магнит 249979,"Ростовская обл, Ростов-на-Дону г, Заводская ул, 31/2",,Undefined,No match; needs manual map lookup
Магнит 319631,"Ярославская обл, Ярославль г, Октября пр-кт, 46",,Undefined,No match; needs manual map lookup
Магнит 234384,"Ленинградская обл, Всеволожский р-н, Кудрово г, Столичная ул, 4, к 3",,Undefined,No match; needs manual map lookup
Магнит 157464,"Пензенская обл, Пенза г, Измайлова ул, 38, к 6",,Undefined,No match; needs manual map lookup
Магнит 109066,"Санкт-Петербург г, Орбитальная ул, 11, стр 1",,Undefined,No match; needs manual map lookup
Магнит 810124,"Ярославская обл, Ярославский р-н, Туношна с, Костромская ул, 7",,Undefined,No match; needs manual map lookup
Магнит 819483,"Ленинградская обл, Всеволожский р-н, имени Морозова гп, Первомайская ул, 3",,Undefined,No match; needs manual map lookup
Магнит 803392,"Орловская обл, Дмитровский р-н, Дмитровск г, Советская ул, 105А",,Undefined,No match; needs manual map lookup
Магнит 870018,"Алтайский край, Барнаул г, Власихинская ул, 117",,Undefined,No match; needs manual map lookup
Магнит 760756,"Ханты-Мансийский АО, Мегион г",,Undefined,No match; needs manual map lookup
Магнит 653321,"Пензенская обл, Заречный г, Ленина ул, 60А",,Undefined,No match; needs manual map lookup
Магнит 688692,"Московская обл, Красногорск г, Александровская ул, 4",,Undefined,No match; needs manual map lookup
Магнит 682872,"Челябинская обл, Копейск г, Комсомольская ул, 35",,Undefined,No match; needs manual map lookup
Магнит 629323,"Пермский край, Пермь г, Молдавская ул, 3",,Undefined,No match; needs manual map lookup
Магнит 704061,"Красноярский край, Лесосибирск г, Привокзальная ул, 78",,Undefined,No match; needs manual map lookup
Магнит 428433,"Краснодарский край, Динской р-н, Южный п, Платановая ул, 24А",,Undefined,No match; needs manual map lookup
Магнит 388594,"Курская обл, Курчатов г, Набережная ул, 19",,Undefined,No match; needs manual map lookup
