Store Name,Address,City,Format,Comment
Магнит 947387,"Московская обл, Балашиха г, Фадеева ул, 19А",Балашиха,Undefined,No Yandex result
Магнит 852965,"Саратовская обл, Энгельс г, Трудовая ул, 8А",Энгельс,Undefined,No Yandex result
Магнит 777934,"Московская обл, Одинцово г, Звенигород г, Поречье мкр, 7",Одинцово,Undefined,No Yandex result
Магнит 878817,"Свердловская обл, Екатеринбург г, 22 Партсъезда ул, 10",Екатеринбург,Undefined,No Yandex result
Магнит 747401,"Воронежская обл, Воронеж г, Калининец тер ДНТ, 1 линия, 52",Воронеж,Undefined,No Yandex result
Магнит 680933,"Московская обл, Домодедово г",Домодедово,Undefined,No Yandex result
Магнит 702718,"Воронежская обл, Семилукский р-н, Семилуки г, Транспортная ул, 14/5",Семилуки,Undefined,No Yandex result
Магнит 671345,"Курская обл, Железногорский р-н, Тепличный п, Лесная ул, 16",,Undefined,No Yandex result
Магнит 618660,"Волгоградская обл, Волгоград г, Качинцев ул, 97",Волгоград,Undefined,No Yandex result
Магнит 667537,"Санкт-Петербург г, Дыбенко ул, 2, к 1",Санкт-Петербург,Undefined,No Yandex result
Магнит 581769,"Москва г, Коммунарка р-н, Коммунарка п, Лазурная ул, 7",Москва,Undefined,No Yandex result
Магнит 579267,"Московская обл, Подольск г, Железнодорожная ул, 2",Подольск,Undefined,No Yandex result
Магнит 572012,"Воронежская обл, Нововоронеж г, Космонавтов ул, 24",Нововоронеж,Undefined,No Yandex result
Магнит 479669,"Москва г, Внуково р-н, Аэростатная ул, 15, к 9",Москва,Undefined,No Yandex result
Магнит 478990,"Удмуртия, Игринский р-н, Чутырь с, Советская ул, 53Б",,Undefined,No Yandex result
Магнит 418699,"Москва г, Шереметьевская ул, 13, к 1",Москва,Undefined,No Yandex result
Магнит 330694,"Новосибирская обл, Новосибирск г, Золотая Горка тер. СНТ, 63/2",орка тер. СНТ,Undefined,No Yandex result
Магнит 158802,"Московская обл, Видное г, Развилка п, Римский пр-д, 15",Видное,Undefined,No Yandex result
Магнит 143721,"Нижегородская обл, Семенов г, Беласовка д, Школьная ул, 2А",Семенов,Undefined,No Yandex result
Магнит 889374,"Московская обл, Можайск г, Ватутина ул, 8А",Можайск,Undefined,No Yandex result
Магнит 820014,"Краснодарский край, Мостовский р-н, Переправная ст-ца, Кузнецова ул, 45А",,Undefined,No Yandex result
Магнит 851701,"Ростовская обл, Ростов-на-Дону г, 10-й Лазоревый пер, 27",Ростов-на-Дону,Undefined,No Yandex result
Магнит 792639,"Калмыкия, Элиста г, Ю.Клыкова ул, 126",Элиста,Undefined,No Yandex result
Магнит 780383,"Московская обл, Ногинск г, Рыбхоз п, Бисерово-парк мкр, 1А",Ногинск,Undefined,No Yandex result
Магнит 784117,"Ханты-Мансийский АО, Югорск г, Железнодорожная ул, 35А",Югорск,Undefined,No Yandex result
Магнит 837991,"Московская обл, Подольск г, Профсоюзная ул, 1В",Подольск,Undefined,No Yandex result
Магнит 787564,"Нижегородская обл, Нижний Новгород г, Сазанова ул, 17",Нижний Новгород,Undefined,No Yandex result
Магнит 713938,"Ивановская обл, Вичуга г, Богдана Хмельницкого ул, 9А",Вичуга,Undefined,No Yandex result
Магнит 754482,"Алтайский край, Чарышский р-н, Чарышское с, Театральный пер, 1",,Undefined,No Yandex result
Магнит 649549,"Вологодская обл, Вологда г, Гагарина ул, 72",агарина ул,Undefined,No Yandex result
Магнит 603728,"Москва г, 2-й Нагатинский проезд, 2/3",Москва,Undefined,No Yandex result
Магнит 588015,"Воронежская обл, Воронеж г, Острогожская ул, 168/2",Воронеж,Undefined,No Yandex result
Магнит 569266,"Мурманская обл, Ловозерский р-н, Ревда пгт, Металлургов ул, 3",,Undefined,No Yandex result
Магнит 453466,"Коми, Сыктывкар г, Мира ул, 15",Сыктывкар,Undefined,No Yandex result
Магнит 302470,"Удмуртия, Ижевск г, им Татьяны Барамзиной ул, 74А",Ижевск,Undefined,No Yandex result
Магнит 357726,"Москва г, Филимонковский р-н, Московский г, Лаптева ул, 9",Москва,Undefined,No Yandex result
Магнит 290604,"Москва г, Новокосинская ул, 32",Москва,Undefined,No Yandex result
Магнит 249979,"Ростовская обл, Ростов-на-Дону г, Заводская ул, 31/2",Ростов-на-Дону,Undefined,No Yandex result
Магнит 319631,"Ярославская обл, Ярославль г, Октября пр-кт, 46",Ярославль,Undefined,No Yandex result
Магнит 234384,"Ленинградская обл, Всеволожский р-н, Кудрово г, Столичная ул, 4, к 3",Кудрово,Undefined,No Yandex result
Магнит 157464,"Пензенская обл, Пенза г, Измайлова ул, 38, к 6",Пенза,Undefined,No Yandex result
Магнит 109066,"Санкт-Петербург г, Орбитальная ул, 11, стр 1",Санкт-Петербург,Undefined,No Yandex result
Магнит 810124,"Ярославская обл, Ярославский р-н, Туношна с, Костромская ул, 7",,Undefined,No Yandex result
Магнит 819483,"Ленинградская обл, Всеволожский р-н, имени Морозова гп, Первомайская ул, 3",п,Undefined,No Yandex result
Магнит 803392,"Орловская обл, Дмитровский р-н, Дмитровск г, Советская ул, 105А",Дмитровск,Undefined,No Yandex result
Магнит 870018,"Алтайский край, Барнаул г, Власихинская ул, 117",Барнаул,Undefined,No Yandex result
Магнит 760756,"Ханты-Мансийский АО, Мегион г",Мегион,Undefined,No Yandex result
Магнит 653321,"Пензенская обл, Заречный г, Ленина ул, 60А",Заречный,Undefined,No Yandex result
Магнит 688692,"Московская обл, Красногорск г, Александровская ул, 4",Красногорск,Undefined,No Yandex result
Магнит 682872,"Челябинская обл, Копейск г, Комсомольская ул, 35",Копейск,Undefined,No Yandex result
Магнит 629323,"Пермский край, Пермь г, Молдавская ул, 3",Пермь,Undefined,No Yandex result
Магнит 704061,"Красноярский край, Лесосибирск г, Привокзальная ул, 78",Лесосибирск,Undefined,No Yandex result
Магнит 428433,"Краснодарский край, Динской р-н, Южный п, Платановая ул, 24А",,Undefined,No Yandex result
Магнит 388594,"Курская обл, Курчатов г, Набережная ул, 19",Курчатов,Undefined,No Yandex result
Магнит 392756,"Курганская обл, Шадринский р-н, Красная Нива с, Школьная ул, 5А",,Undefined,No Yandex result
Магнит 290741,"Московская обл, Талдом г, Высочки д, 15А",Талдом,Undefined,No Yandex result
Магнит 201718,"Нижегородская обл, Нижний Новгород г, Культуры ул, 107",Нижний Новгород,Undefined,No Yandex result
